"","id","l3","rooms","bathrooms","surface_total","surface_covered","price","property_type"
"29175","9lTKBnWThB4X7zVbbnursw==","Palermo",3,1,58,58,163000,"Departamento"
"29176","XPU5QvlDOr2kyvPPf1czdQ==","Belgrano",3,2,81,64,229000,"Departamento"
"29177","EHI13dV9hycYfTcjdDmkMA==","Belgrano",3,1,76,73,210000,"Departamento"
"29178","kgFu/iquE3uSqXEVtWQNvw==","Paternal",3,1,68,60,98000,"Departamento"
"29179","p3WJdhvvw+LLi5br+G+X5A==","Recoleta",3,1,102,68,230000,"Departamento"
"29180","q2pln+6uqDtwKbOAmjk6rA==","Recoleta",3,2,82,79,242000,"Departamento"
"29181","ZgT4ZLenC+ZLrlzLYPZpNw==","Saavedra",3,1,64,54,210000,"Departamento"
"29182","/vBSCCd+flkIWt6w5D6cNQ==","San Telmo",3,1,65,65,136000,"Departamento"
"29183","hJf2M9f0Lsz1m4zoSd6QEg==","Villa Luro",3,1,60,56,170000,"Departamento"
"29184","FX8r74ld/xxOw4wNZK6QDg==","Barrio Norte",3,1,103,90,370000,"Departamento"
"29185","HtWSt+Tryf/wljPn15roZg==","Villa Crespo",3,1,57,52,140000,"Departamento"
"29186","7yNrQskUsIY1r8lyBESyPw==","Villa Crespo",3,1,60,60,169000,"Departamento"
"29187","Aecs8eBAiZi8fqkpXHFLlg==","Villa Crespo",3,1,80,70,168000,"Departamento"
"29188","ukASTSGeynOVKWnRyy4aiw==","Villa Crespo",3,1,65,59,150000,"Departamento"
"29189","DnH/iZtRuRVJ+EV9mN7s8w==","Villa Crespo",3,1,58,56,123000,"Departamento"
"29190","ca+/UmvL2udJk7gTY2sK5w==","Villa Crespo",3,1,58,55,137000,"Departamento"
"29191","iCUrag61ZtO/RDNnUKNJYw==","San Cristobal",3,1,64,64,115000,"Departamento"
"29192","SO6aou3Z3UutLXw6urDAug==","Abasto",4,2,102,102,255000,"PH"
"29193","bsuTG3nToLqfGjKvweb9Hw==","Palermo",4,3,142,142,430000,"PH"
"29194","SDFMdyCtJALQ7emztLz84g==","Palermo",4,3,142,142,395000,"PH"
"29195","Pee4jXjq31vFx9aLMuXgwQ==","Palermo",4,3,142,142,430000,"PH"
"29196","y/xXDmlVjM+WJ2XAaQQp1w==","Palermo",4,3,142,142,395000,"PH"
"29197","w+xa/C0ij49gR9Wt6JZ7bg==","Caballito",4,2,125,100,269900,"PH"
"29198","fANxDWONCG+vQNidOCirkA==","Villa Ortuzar",4,3,155,135,389000,"PH"
"29199","9fyatz3PypXytKon1i5opA==","Villa Devoto",4,1,144,144,340000,"Casa"
"29200","OIzBTQRSLn7psunZ2wFOhg==","Villa Pueyrredón",4,3,138,110,348000,"Casa"
"29201","gDzwPQ1nHqmnCkTs1ge3Lg==","Abasto",4,1,78,73,210000,"Departamento"
"29202","T8lpUwes4feIXU4Zc9wJHg==","Abasto",4,2,77,73,235000,"Departamento"
"29203","Gdr83QEmhy1NXsyY5lgoLg==","Flores",5,2,175,157,247500,"Departamento"
"29204","/4cY8GI/9RtNZTUjgB2PBA==","Flores",4,4,120,112,280000,"Departamento"
"29205","8+9Rl7KsM4+ZJC7NScQmxw==","Retiro",5,3,133,133,370000,"Departamento"
"29206","fPBXOOr86BQwAThw2jyF3w==","Almagro",4,2,139,130,270000,"Departamento"
"29207","1LtCTegPIVBQe+H9vw+k0g==","Palermo",4,3,168,142,385000,"Departamento"
"29208","KM82wBUY6k941z7dvxfKhg==","Palermo",4,3,168,142,395000,"Departamento"
"29209","o4W4gVWCwFTRfe8zhh89Mw==","Barracas",4,3,211,190,450000,"Departamento"
"29210","7cXkvDpD3ihCCDWvcjSugQ==","Belgrano",4,2,144,128,365000,"Departamento"
"29211","NoF4k178BT40S4dnnBjXpg==","Recoleta",4,3,115,107,260000,"Departamento"
"29212","SEGLb0jbnHpCanM9d5eeLQ==","Recoleta",4,3,140,124,385000,"Departamento"
